[AMF] Connected to gNB 127.0.0.1:6000
[AMF] Load mode
[AMF] rate=10 msg/s | duration=10 s | total=100
[AMF] Send NGAP Paging | UE_ID=1001
[AMF] Send NGAP Paging | UE_ID=1002
[AMF] Send NGAP Paging | UE_ID=1003
[AMF] Send NGAP Paging | UE_ID=1004
[AMF] Send NGAP Paging | UE_ID=1005
[AMF] Send NGAP Paging | UE_ID=1006
[AMF] Send NGAP Paging | UE_ID=1007
[AMF] Send NGAP Paging | UE_ID=1008
[AMF] Send NGAP Paging | UE_ID=1009
[AMF] Send NGAP Paging | UE_ID=1010
[AMF] Send NGAP Paging | UE_ID=1001
[AMF] Send NGAP Paging | UE_ID=1002
[AMF] Send NGAP Paging | UE_ID=1003
[AMF] Send NGAP Paging | UE_ID=1004
[AMF] Send NGAP Paging | UE_ID=1005
[AMF] Send NGAP Paging | UE_ID=1006
[AMF] Send NGAP Paging | UE_ID=1007
[AMF] Send NGAP Paging | UE_ID=1008
[AMF] Send NGAP Paging | UE_ID=1009
[AMF] Send NGAP Paging | UE_ID=1010
[AMF] Send NGAP Paging | UE_ID=1001
[AMF] Send NGAP Paging | UE_ID=1002
[AMF] Send NGAP Paging | UE_ID=1003
[AMF] Send NGAP Paging | UE_ID=1004
[AMF] Send NGAP Paging | UE_ID=1005
[AMF] Send NGAP Paging | UE_ID=1006
[AMF] Send NGAP Paging | UE_ID=1007
[AMF] Send NGAP Paging | UE_ID=1008
[AMF] Send NGAP Paging | UE_ID=1009
[AMF] Send NGAP Paging | UE_ID=1010
[AMF] Send NGAP Paging | UE_ID=1001
[AMF] Send NGAP Paging | UE_ID=1002
[AMF] Send NGAP Paging | UE_ID=1003
[AMF] Send NGAP Paging | UE_ID=1004
[AMF] Send NGAP Paging | UE_ID=1005
[AMF] Send NGAP Paging | UE_ID=1006
[AMF] Send NGAP Paging | UE_ID=1007
[AMF] Send NGAP Paging | UE_ID=1008
[AMF] Send NGAP Paging | UE_ID=1009
[AMF] Send NGAP Paging | UE_ID=1010
[AMF] Send NGAP Paging | UE_ID=1001
[AMF] Send NGAP Paging | UE_ID=1002
[AMF] Send NGAP Paging | UE_ID=1003
[AMF] Send NGAP Paging | UE_ID=1004
[AMF] Send NGAP Paging | UE_ID=1005
[AMF] Send NGAP Paging | UE_ID=1006
[AMF] Send NGAP Paging | UE_ID=1007
[AMF] Send NGAP Paging | UE_ID=1008
[AMF] Send NGAP Paging | UE_ID=1009
[AMF] Send NGAP Paging | UE_ID=1010
[AMF] Send NGAP Paging | UE_ID=1001
[AMF] Send NGAP Paging | UE_ID=1002
[AMF] Send NGAP Paging | UE_ID=1003
[AMF] Send NGAP Paging | UE_ID=1004
[AMF] Send NGAP Paging | UE_ID=1005
[AMF] Send NGAP Paging | UE_ID=1006
[AMF] Send NGAP Paging | UE_ID=1007
[AMF] Send NGAP Paging | UE_ID=1008
[AMF] Send NGAP Paging | UE_ID=1009
[AMF] Send NGAP Paging | UE_ID=1010
[AMF] Send NGAP Paging | UE_ID=1001
[AMF] Send NGAP Paging | UE_ID=1002
[AMF] Send NGAP Paging | UE_ID=1003
[AMF] Send NGAP Paging | UE_ID=1004
[AMF] Send NGAP Paging | UE_ID=1005
[AMF] Send NGAP Paging | UE_ID=1006
[AMF] Send NGAP Paging | UE_ID=1007
[AMF] Send NGAP Paging | UE_ID=1008
[AMF] Send NGAP Paging | UE_ID=1009
[AMF] Send NGAP Paging | UE_ID=1010
[AMF] Send NGAP Paging | UE_ID=1001
[AMF] Send NGAP Paging | UE_ID=1002
[AMF] Send NGAP Paging | UE_ID=1003
[AMF] Send NGAP Paging | UE_ID=1004
[AMF] Send NGAP Paging | UE_ID=1005
[AMF] Send NGAP Paging | UE_ID=1006
[AMF] Send NGAP Paging | UE_ID=1007
[AMF] Send NGAP Paging | UE_ID=1008
[AMF] Send NGAP Paging | UE_ID=1009
[AMF] Send NGAP Paging | UE_ID=1010
[AMF] Send NGAP Paging | UE_ID=1001
[AMF] Send NGAP Paging | UE_ID=1002
[AMF] Send NGAP Paging | UE_ID=1003
[AMF] Send NGAP Paging | UE_ID=1004
[AMF] Send NGAP Paging | UE_ID=1005
[AMF] Send NGAP Paging | UE_ID=1006
[AMF] Send NGAP Paging | UE_ID=1007
[AMF] Send NGAP Paging | UE_ID=1008
[AMF] Send NGAP Paging | UE_ID=1009
[AMF] Send NGAP Paging | UE_ID=1010
[AMF] Send NGAP Paging | UE_ID=1001
[AMF] Send NGAP Paging | UE_ID=1002
[AMF] Send NGAP Paging | UE_ID=1003
[AMF] Send NGAP Paging | UE_ID=1004
[AMF] Send NGAP Paging | UE_ID=1005
[AMF] Send NGAP Paging | UE_ID=1006
[AMF] Send NGAP Paging | UE_ID=1007
[AMF] Send NGAP Paging | UE_ID=1008
[AMF] Send NGAP Paging | UE_ID=1009
[AMF] Send NGAP Paging | UE_ID=1010
